Board_ID,Difficulty,Algorithm,Threads,Rep,Time_s,Correct
easy_006,Easy,DLX-OMP,8,3,0.000672487,1
easy_006,Easy,DLX-OMP,8,4,0.000508580,1
easy_006,Easy,DLX-OMP,8,5,0.000555962,1
easy_006,Easy,DLX-OMP,16,1,0.001708165,1
easy_006,Easy,DLX-OMP,16,2,0.000511594,1
easy_006,Easy,DLX-OMP,16,3,0.001518089,1
easy_006,Easy,DLX-OMP,16,4,0.000530619,1
easy_006,Easy,DLX-OMP,16,5,0.000550075,1
easy_006,Easy,OMP-Frontier,4,1,0.010031253,1
easy_006,Easy,OMP-Frontier,4,2,0.009432886,1
easy_006,Easy,OMP-Frontier,4,3,0.009411418,1
easy_006,Easy,OMP-Frontier,4,4,0.009409619,1
easy_006,Easy,OMP-Frontier,4,5,0.009434558,1
easy_006,Easy,OMP-Frontier,8,1,0.009595077,1
easy_006,Easy,OMP-Frontier,8,2,0.009488641,1
easy_006,Easy,OMP-Frontier,8,3,0.009462296,1
easy_006,Easy,OMP-Frontier,8,4,0.009477668,1
easy_006,Easy,OMP-Frontier,8,5,0.009474724,1
easy_006,Easy,OMP-Frontier,16,1,0.009857917,1
easy_006,Easy,OMP-Frontier,16,2,0.009593594,1
easy_006,Easy,OMP-Frontier,16,3,0.009583577,1
easy_006,Easy,OMP-Frontier,16,4,0.009940085,1
easy_006,Easy,OMP-Frontier,16,5,0.009554743,1
easy_006,Easy,OpenMP,4,1,0.006499298,1
easy_006,Easy,OpenMP,4,2,0.006308444,1
easy_006,Easy,OpenMP,4,3,0.006288007,1
easy_006,Easy,OpenMP,4,4,0.006322103,1
easy_006,Easy,OpenMP,4,5,0.006311250,1
easy_006,Easy,OpenMP,8,1,0.006505959,1
easy_006,Easy,OpenMP,8,2,0.006386543,1
easy_006,Easy,OpenMP,8,3,0.006372591,1
easy_006,Easy,OpenMP,8,4,0.006425638,1
easy_006,Easy,OpenMP,8,5,0.006370058,1
easy_006,Easy,OpenMP,16,1,0.007156028,1
easy_006,Easy,OpenMP,16,2,0.006428345,1
easy_006,Easy,OpenMP,16,3,0.006472817,1
easy_006,Easy,OpenMP,16,4,0.006538583,1
easy_006,Easy,OpenMP,16,5,0.006465922,1
easy_007,Easy,Serial,1,1,0.015352748,1
easy_007,Easy,Serial,1,2,0.015744079,1
easy_007,Easy,Serial,1,3,0.015356866,1
easy_007,Easy,Serial,1,4,0.015377977,1
easy_007,Easy,Serial,1,5,0.015370488,1
easy_007,Easy,Serial-MRV,1,1,0.003883375,1
easy_007,Easy,Serial-MRV,1,2,0.003896670,1
easy_007,Easy,Serial-MRV,1,3,0.003916423,1
easy_007,Easy,Serial-MRV,1,4,0.003893303,1
easy_007,Easy,Serial-MRV,1,5,0.003895265,1
easy_007,Easy,DLX,1,1,0.000285796,1
easy_007,Easy,DLX,1,2,0.000288039,1
easy_007,Easy,DLX,1,3,0.000280834,1
easy_007,Easy,DLX,1,4,0.000279162,1
easy_007,Easy,DLX,1,5,0.000278018,1
easy_007,Easy,DLX-OMP,4,1,0.000603913,1
easy_007,Easy,DLX-OMP,4,2,0.000548540,1
easy_007,Easy,DLX-OMP,4,3,0.000508520,1
easy_007,Easy,DLX-OMP,4,4,0.000508904,1
easy_007,Easy,DLX-OMP,4,5,0.000489632,1
easy_007,Easy,DLX-OMP,8,1,0.000623663,1
easy_007,Easy,DLX-OMP,8,2,0.000678116,1
easy_007,Easy,DLX-OMP,8,3,0.000510602,1
easy_007,Easy,DLX-OMP,8,4,0.001464673,1
easy_007,Easy,DLX-OMP,8,5,0.000674568,1
easy_007,Easy,DLX-OMP,16,1,0.000858631,1
easy_007,Easy,DLX-OMP,16,2,0.000550399,1
easy_007,Easy,DLX-OMP,16,3,0.000539193,1
easy_007,Easy,DLX-OMP,16,4,0.000499479,1
easy_007,Easy,DLX-OMP,16,5,0.000541198,1
easy_007,Easy,OMP-Frontier,4,1,0.006034724,1
easy_007,Easy,OMP-Frontier,4,2,0.005872373,1
easy_007,Easy,OMP-Frontier,4,3,0.005853629,1
easy_007,Easy,OMP-Frontier,4,4,0.005861091,1
easy_007,Easy,OMP-Frontier,4,5,0.005862258,1
easy_007,Easy,OMP-Frontier,8,1,0.006398914,1
easy_007,Easy,OMP-Frontier,8,2,0.005925057,1
easy_007,Easy,OMP-Frontier,8,3,0.005928912,1
easy_007,Easy,OMP-Frontier,8,4,0.005935547,1
easy_007,Easy,OMP-Frontier,8,5,0.005908182,1
easy_007,Easy,OMP-Frontier,16,1,0.006345757,1
easy_007,Easy,OMP-Frontier,16,2,0.005994918,1
easy_007,Easy,OMP-Frontier,16,3,0.005972018,1
easy_007,Easy,OMP-Frontier,16,4,0.005990961,1
easy_007,Easy,OMP-Frontier,16,5,0.005979847,1
easy_007,Easy,OpenMP,4,1,0.004075450,1
easy_007,Easy,OpenMP,4,2,0.003968550,1
easy_007,Easy,OpenMP,4,3,0.003949688,1
easy_007,Easy,OpenMP,4,4,0.003941545,1
easy_007,Easy,OpenMP,4,5,0.003980073,1
easy_007,Easy,OpenMP,8,1,0.004116948,1
easy_007,Easy,OpenMP,8,2,0.004036702,1
easy_007,Easy,OpenMP,8,3,0.004002739,1
easy_007,Easy,OpenMP,8,4,0.003998828,1
easy_007,Easy,OpenMP,8,5,0.004012087,1
easy_007,Easy,OpenMP,16,1,0.004695606,1
easy_007,Easy,OpenMP,16,2,0.004055633,1
easy_007,Easy,OpenMP,16,3,0.004083316,1
easy_007,Easy,OpenMP,16,4,0.004033548,1
easy_007,Easy,OpenMP,16,5,0.004103252,1
easy_008,Easy,Serial,1,1,0.000158907,1
easy_008,Easy,Serial,1,2,0.000154132,1
easy_008,Easy,Serial,1,3,0.000153036,1
easy_008,Easy,Serial,1,4,0.000151936,1
easy_008,Easy,Serial,1,5,0.000189979,1
easy_008,Easy,Serial-MRV,1,1,0.003074979,1
easy_008,Easy,Serial-MRV,1,2,0.003403955,1
easy_008,Easy,Serial-MRV,1,3,0.003014536,1
easy_008,Easy,Serial-MRV,1,4,0.003016959,1
easy_008,Easy,Serial-MRV,1,5,0.003037625,1
easy_008,Easy,DLX,1,1,0.000277480,1
easy_008,Easy,DLX,1,2,0.000269961,1
easy_008,Easy,DLX,1,3,0.000268133,1
easy_008,Easy,DLX,1,4,0.000278742,1
easy_008,Easy,DLX,1,5,0.000266030,1
easy_008,Easy,DLX-OMP,4,1,0.000608202,1
easy_008,Easy,DLX-OMP,4,2,0.000521832,1
easy_008,Easy,DLX-OMP,4,3,0.000519416,1
easy_008,Easy,DLX-OMP,4,4,0.000500354,1
easy_008,Easy,DLX-OMP,4,5,0.000496573,1
easy_008,Easy,DLX-OMP,8,1,0.001516674,1
easy_008,Easy,DLX-OMP,8,2,0.000516309,1
easy_008,Easy,DLX-OMP,8,3,0.000649476,1
easy_008,Easy,DLX-OMP,8,4,0.000492578,1
easy_008,Easy,DLX-OMP,8,5,0.000676151,1
easy_008,Easy,DLX-OMP,16,1,0.000862342,1
easy_008,Easy,DLX-OMP,16,2,0.000711434,1
easy_008,Easy,DLX-OMP,16,3,0.000690884,1
easy_008,Easy,DLX-OMP,16,4,0.001028193,1
easy_008,Easy,DLX-OMP,16,5,0.000541896,1
easy_008,Easy,OMP-Frontier,4,1,0.004741669,1
easy_008,Easy,OMP-Frontier,4,2,0.004648845,1
easy_008,Easy,OMP-Frontier,4,3,0.004645278,1
easy_008,Easy,OMP-Frontier,4,4,0.004664976,1
easy_008,Easy,OMP-Frontier,4,5,0.004593247,1
easy_008,Easy,OMP-Frontier,8,1,0.004813004,1
easy_008,Easy,OMP-Frontier,8,2,0.004696110,1
easy_008,Easy,OMP-Frontier,8,3,0.004714884,1
easy_008,Easy,OMP-Frontier,8,4,0.004661850,1
easy_008,Easy,OMP-Frontier,8,5,0.004645544,1
easy_008,Easy,OMP-Frontier,16,1,0.005127968,1
easy_008,Easy,OMP-Frontier,16,2,0.004770936,1
easy_008,Easy,OMP-Frontier,16,3,0.004772922,1
easy_008,Easy,OMP-Frontier,16,4,0.004716352,1
easy_008,Easy,OMP-Frontier,16,5,0.004769972,1
easy_008,Easy,OpenMP,4,1,0.003217143,1
easy_008,Easy,OpenMP,4,2,0.003083375,1
easy_008,Easy,OpenMP,4,3,0.003100064,1
easy_008,Easy,OpenMP,4,4,0.003090483,1
easy_008,Easy,OpenMP,4,5,0.003082100,1
easy_008,Easy,OpenMP,8,1,0.003236231,1
easy_008,Easy,OpenMP,8,2,0.003095069,1
easy_008,Easy,OpenMP,8,3,0.003105424,1
easy_008,Easy,OpenMP,8,4,0.003080846,1
easy_008,Easy,OpenMP,8,5,0.003459042,1
easy_008,Easy,OpenMP,16,1,0.003851748,1
easy_008,Easy,OpenMP,16,2,0.003156400,1
easy_008,Easy,OpenMP,16,3,0.003201612,1
easy_008,Easy,OpenMP,16,4,0.003145360,1
easy_008,Easy,OpenMP,16,5,0.003172655,1
easy_009,Easy,Serial,1,1,0.000595557,1
easy_009,Easy,Serial,1,2,0.000545075,1
easy_009,Easy,Serial,1,3,0.000583861,1
easy_009,Easy,Serial,1,4,0.000543798,1
easy_009,Easy,Serial,1,5,0.000604064,1
easy_009,Easy,Serial-MRV,1,1,0.003095269,1
easy_009,Easy,Serial-MRV,1,2,0.003065697,1
easy_009,Easy,Serial-MRV,1,3,0.003061877,1
easy_009,Easy,Serial-MRV,1,4,0.003078546,1
easy_009,Easy,Serial-MRV,1,5,0.003065875,1
easy_009,Easy,DLX,1,1,0.000270372,1
easy_009,Easy,DLX,1,2,0.000263027,1
easy_009,Easy,DLX,1,3,0.000258375,1
easy_009,Easy,DLX,1,4,0.000262456,1
